RESELLERNAME,SALESTERRITORYREGION,TOTAL_SALES
Brakes and Gears,Northwest,877115
Excellent Riding Supplies,Southeast,853854
Vigorous Exercise Company,Canada,841917
Totes & Baskets Company,Southwest,816767
Retail Mall,Canada,799294
Corner Bicycle Supply,Canada,787770
Outdoor Equipment Store,Northeast,746325
Thorough Parts and Repair Services,Northwest,740989
"Health Spa, Limited",Canada,730804
Fitness Toy Store,Southwest,727282
Latest Sports Equipment,Northwest,724296
First Bike Store,Central,711873
Great Bikes,Northwest,700803
Farthermost Bike Shop,Southwest,693512
Field Trip Store,Central,671631
Metropolitan Equipment,France,643760
Eastside Department Store,Southwest,636238
The Gear Store,Southwest,618620
Sheet Metal Manufacturing,Southwest,617348
Top Sports Supply,Canada,602568
Modular Cycle Systems,Southwest,586531
Golf and Cycle Store,Southwest,585521
Registered Cycle Store,France,580235
Permanent Finish Products,Northwest,577094
Reasonable Bicycle Sales,Central,572044
Metropolitan Bicycle Supply,United Kingdom,559632
Larger Cycle Shop,Northeast,537539
Closeout Boutique,Northwest,536558
Westside Plaza,Southwest,534952
Friendly Bike Shop,Northwest,532230
Riders Company,Central,519413
Resale Services,Southwest,492374
Rewarding Activities Company,Canada,482745
Mail-Order Outlet,Northwest,477964
Bulk Discount Store,United Kingdom,474415
Leather Seat Factory,Canada,472824
Tenth Bike Store,Canada,458382
Mountain Bike Center,Southwest,456742
eCommerce Bikes,Southeast,446015
Rural Cycle Emporium,Canada,443858
Safe Cycles Shop,Northwest,443323
Roadway Bicycle Supply,France,436928
Tread Industries,Southeast,431992
Bike Dealers Association,Southwest,429063
Sturdy Toys,Southwest,427900
Small Bike Shop,Southwest,424522
Better Bike Shop,Southeast,422718
Extraordinary Bike Works,Southwest,418440
Sales and Supply Company,Southeast,416708
Original Bicycle Supply Company,Canada,416654
Fashionable Bikes and Accessories,Northwest,415309
Preferred Bikes,Southwest,413066
Racing Sales and Service,France,409289
Hardware Components,Central,408485
Seventh Bike Store,Northeast,402110
Real Sporting Goods,Southwest,399016
Rapid Bikes,Canada,397560
Paint Supply,Southwest,395883
New and Used Bicycles,Southeast,395422
Lease-a-Bike Shop,Northeast,394272
Good Bike Shop,Central,392793
Red Bicycle Company,Canada,392495
Perfect Toys,France,391039
Sure & Reliable Sporting Goods,Northwest,387124
Sundry Sporting Goods,Canada,384404
Area Bike Accessories,Southwest,380451
Catalog Store,Central,373666
Trailblazing Sports,Southwest,372149
Advanced Bike Components,Southwest,362013
Eastside Sporting Goods,Northeast,357718
Casual Bicycle Store,Northeast,357053
Rally Master Company Inc,Southwest,355133
Bicycle Merchandise Warehouse,Southwest,354810
Prosperous Tours,United Kingdom,354613
Many Bikes Store,Southwest,349352
Camping and Sports Store,Canada,343346
Quantity Discounts,Southwest,338945
Global Bike Retailers,Germany,337753
Exhilarating Cycles,Central,336413
Rally Day Mall,Southeast,334675
Citywide Service and Repair,Canada,325037
Action Bicycle Specialists,United Kingdom,321751
Getaway Inn,France,320227
General Supplies,Canada,318190
Number 1 Supply,Southwest,316329
Affordable Sports Equipment,Southwest,311454
Uttermost Bike Shop,United Kingdom,309684
Futuristic Sport Distributors,Central,309082
Commerce Bicycle Specialists,United Kingdom,302055
Metro Metals Co.,United Kingdom,299982
Retail Sales and Service,Northeast,299536
Genial Bike Associates,Southwest,294396
Chic Department Stores,Southwest,293832
Noiseless Gear Company,Southeast,293612
Twelfth Bike Store,Canada,292238
Grand Discount Store,Northeast,292227
Finer Riding Supplies,Canada,290167
Serious Cycles,Canada,289492
Immediate Repair Shop,Northeast,288827
Separate Parts Corporation,Southwest,286976
Fashionable Department Stores,Northeast,286669
Bike Boutique,Northeast,284879
Initial Bike Company,Central,284306
Favorite Toy Distributor,France,283733
Riding Cycles,United Kingdom,282707
World of Bikes,Central,278575
Satin Finish Company,Southwest,278415
Primary Bike Distributors,Canada,278204
Great Bicycle Supply,Central,276527
Bicycle Lines Distributors,Central,274406
Nearby Cycle Shop,United Kingdom,273186
Best Cycle Store,Germany,272050
Custom Accessories Company,Canada,269020
Frugal Bike Shop,Northwest,268664
Commercial Sporting Goods,Southwest,268213
Fun Times Club,Central,268166
Extended Bike Sales,Southwest,261528
General Cycle Storehouse,Canada,261428
Fitness Sport Boutique,Northeast,258980
Spare Parts Co.,France,253977
Family Cycle Store,Canada,250215
Valuable Bike Parts Company,Southeast,249389
Bikes and Motorbikes,Canada,249301
"Fabrikam Inc., West",Central,248374
Professional Cycle Store,Southwest,247896
Downtown Hotel,Northwest,243016
Glossy Bikes,Northeast,239860
Valley Toy Store,Canada,234963
Metro Cycle Shop,Northwest,231594
Swift Cycles,Southwest,228427
Every Bike Shop,Southeast,223283
Nationwide Supply,Australia,221179
Wheelsets Storehouse,Northeast,220892
Next Door Cycles,Germany,220496
Another Bicycle Company,Northwest,216660
Running and Cycling Gear,Northwest,215978
Vintage Sport Boutique,Northwest,213759
Juvenile Sports Equipment,Southeast,212209
Spa and Exercise Outfitters,France,209695
Rugged Bikes,Northwest,208798
Outstanding Cycles,Northwest,204205
Instruments and Parts Company,United Kingdom,201891
Active Life Toys,Canada,200023
Odometers and Accessories Company,Canada,197799
Amalgamated Parts Shop,Germany,197326
Farthest Bike Store,Canada,196448
Tiny Bike Boutique,Southeast,194433
Consolidated Sales,Southeast,193712
Scooters and Bikes Store,Northwest,193260
Technical Parts Manufacturing,Southwest,187117
Excellent Bikes,Germany,186217
Sleek Bikes,Central,185854
Brightwork Company,Northwest,184847
Front Runner Bikes,Southeast,184842
Bicycle Outfitters,Northeast,182736
Extreme Riding Supplies,Southwest,182024
