MONTH,TOTALSALES,MOVINGAVERAGE
2011-12-29,2049,2049.000
2011-12-31,7329,4689.000
2012-01-01,2443,4886.000
2012-01-02,2443,2443.000
2012-01-03,4492,3467.500
2012-01-04,2049,3270.500
2012-01-06,2443,2246.000
2012-01-08,4492,3467.500
2012-01-11,4492,4492.000
2012-01-14,4886,4689.000
2012-01-16,4886,4886.000
2012-01-17,2443,3664.500
2012-01-20,8984,5713.500
2012-01-22,4492,6738.000
2012-01-23,2049,3270.500
2012-01-24,4886,3467.500
2012-01-27,4098,4492.000
2012-01-28,6541,5319.500
2012-01-29,8984,7762.500
2012-01-30,2443,5713.500
2012-01-31,2443,2443.000
2012-02-01,4886,3664.500
2012-02-02,2443,3664.500
2012-02-03,6935,4689.000
2012-02-06,4492,5713.500
2012-02-09,8984,6738.000
2012-02-12,4492,6738.000
2012-02-14,4492,4492.000
2012-02-15,4492,4492.000
2012-02-16,4492,4492.000
2012-02-17,2049,3270.500
2012-02-19,2049,2049.000
2012-02-21,4098,3073.500
2012-02-23,2443,3270.500
2012-02-24,6935,4689.000
2012-02-25,2443,4689.000
2012-02-26,2049,2246.000
2012-02-27,4886,3467.500
2012-02-28,2443,3664.500
2012-03-02,4886,3664.500
2012-03-06,2443,3664.500
2012-03-07,2443,2443.000
2012-03-09,2049,2246.000
2012-03-10,2443,2246.000
2012-03-12,2049,2246.000
2012-03-13,2049,2049.000
2012-03-14,2049,2049.000
2012-03-17,4492,3270.500
2012-03-20,4492,4492.000
2012-03-23,2443,3467.500
2012-03-24,2443,2443.000
2012-03-25,2443,2443.000
2012-03-26,2049,2246.000
2012-03-30,4492,3270.500
2012-03-31,2049,3270.500
2012-04-01,4886,3467.500
2012-04-05,4886,4886.000
2012-04-09,2443,3664.500
2012-04-11,2443,2443.000
2012-04-13,4492,3467.500
2012-04-14,2049,3270.500
2012-04-15,2443,2246.000
2012-04-16,4098,3270.500
2012-04-21,2049,3073.500
2012-04-22,4492,3270.500
2012-04-23,2049,3270.500
2012-04-28,11821,6935.000
2012-04-29,2443,7132.000
2012-04-30,2443,2443.000
2012-05-01,2443,2443.000
2012-05-03,2443,2443.000
2012-05-05,4886,3664.500
2012-05-09,4098,4492.000
2012-05-10,6541,5319.500
2012-05-11,2443,4492.000
2012-05-12,2049,2246.000
2012-05-13,2443,2246.000
2012-05-15,2443,2443.000
2012-05-17,2443,2443.000
2012-05-19,2049,2246.000
2012-05-20,2049,2049.000
2012-05-23,2049,2049.000
2012-05-26,2443,2246.000
2012-05-27,2443,2443.000
2012-05-28,2443,2443.000
2012-05-29,2049,2246.000
2012-05-31,2443,2246.000
2012-06-02,2049,2246.000
2012-06-03,4098,3073.500
2012-06-04,2049,3073.500
2012-06-07,2443,2246.000
2012-06-08,4098,3270.500
2012-06-09,2049,3073.500
2012-06-10,2049,2049.000
2012-06-11,2049,2049.000
2012-06-12,2049,2049.000
2012-06-14,4098,3073.500
2012-06-16,4098,4098.000
2012-06-17,2049,3073.500
2012-06-18,4492,3270.500
2012-06-19,2049,3270.500
2012-06-20,2049,2049.000
2012-06-22,6541,4295.000
2012-06-24,2049,4295.000
2012-06-25,2443,2246.000
2012-06-26,8196,5319.500
2012-06-27,4886,6541.000
2012-06-28,2443,3664.500
2012-06-29,2443,2443.000
2012-06-30,2443,2443.000
2012-07-01,6935,4689.000
2012-07-03,9772,8353.500
2012-07-06,4492,7132.000
2012-07-08,2049,3270.500
2012-07-10,4098,3073.500
2012-07-11,2049,3073.500
2012-07-13,8196,5122.500
2012-07-14,4492,6344.000
2012-07-15,2049,3270.500
2012-07-16,2049,2049.000
2012-07-17,6935,4492.000
2012-07-19,2049,4492.000
2012-07-20,2049,2049.000
2012-07-21,2049,2049.000
2012-07-22,2443,2246.000
2012-07-23,2049,2246.000
2012-07-24,2443,2246.000
2012-07-25,6541,4492.000
2012-07-26,2443,4492.000
2012-07-30,2049,2246.000
2012-08-01,6541,4295.000
2012-08-03,2443,4492.000
2012-08-04,2049,2246.000
2012-08-05,4492,3270.500
2012-08-06,2049,3270.500
2012-08-07,2443,2246.000
2012-08-08,4098,3270.500
2012-08-09,4098,4098.000
2012-08-10,2049,3073.500
2012-08-11,2049,2049.000
