GENDER,EDUCATION,OCCUPATION,YEARLYINCOME,TOTAL_REVENUE
F,Bachelors,Professional,70000,764269
M,Bachelors,Professional,70000,643981
F,Partial College,Skilled Manual,60000,572100
F,Bachelors,Professional,60000,531197
F,Bachelors,Professional,90000,507339
M,Partial College,Clerical,40000,495712
M,Partial College,Clerical,30000,489375
M,Partial College,Skilled Manual,60000,485113
M,Bachelors,Professional,90000,483902
F,Partial College,Clerical,40000,460513
M,Bachelors,Clerical,30000,431501
F,Partial College,Clerical,30000,421473
F,Bachelors,Skilled Manual,40000,419192
M,Bachelors,Professional,60000,416497
M,Bachelors,Skilled Manual,40000,413084
F,Bachelors,Clerical,30000,351006
F,Graduate Degree,Clerical,40000,336486
F,Graduate Degree,Professional,70000,325672
M,Partial College,Manual,20000,302557
F,Graduate Degree,Professional,60000,296223
F,Partial College,Manual,20000,295660
M,Graduate Degree,Clerical,40000,293964
M,Graduate Degree,Professional,70000,293178
F,High School,Manual,10000,277495
F,Partial College,Professional,70000,270734
M,Graduate Degree,Professional,60000,263387
F,Partial College,Skilled Manual,70000,256152
M,Bachelors,Clerical,20000,244975
M,High School,Manual,10000,238811
M,Partial College,Professional,130000,235383
M,Partial College,Manual,10000,233278
F,Partial College,Manual,10000,223335
M,High School,Skilled Manual,40000,223234
M,High School,Manual,20000,212250
M,High School,Professional,70000,198929
F,Partial College,Professional,90000,190703
F,Partial College,Professional,130000,190618
F,Bachelors,Management,130000,187874
F,High School,Manual,20000,187052
F,Graduate Degree,Management,70000,186555
M,Graduate Degree,Skilled Manual,60000,184146
M,High School,Skilled Manual,80000,183749
F,High School,Skilled Manual,40000,183408
F,High School,Professional,70000,182459
M,Graduate Degree,Management,70000,182392
M,Bachelors,Management,70000,181970
M,Partial College,Skilled Manual,70000,180825
F,Bachelors,Management,70000,176815
M,Partial College,Professional,90000,176742
M,Bachelors,Management,80000,174250
F,High School,Skilled Manual,30000,173345
F,Graduate Degree,Skilled Manual,50000,167685
F,Bachelors,Clerical,20000,165836
M,Partial College,Professional,60000,165584
F,Graduate Degree,Skilled Manual,60000,164513
F,Bachelors,Skilled Manual,50000,163384
M,Graduate Degree,Professional,80000,161507
M,Partial College,Skilled Manual,80000,158617
F,Partial High School,Manual,20000,158352
F,Graduate Degree,Clerical,30000,157726
F,Graduate Degree,Management,80000,157434
F,Bachelors,Professional,40000,157208
M,Graduate Degree,Skilled Manual,50000,157178
M,Partial College,Professional,70000,152873
M,Bachelors,Professional,40000,151234
M,Bachelors,Management,40000,150650
M,Bachelors,Management,130000,150547
F,Partial College,Professional,60000,145631
M,Graduate Degree,Management,130000,143560
M,High School,Manual,30000,142800
F,Partial College,Professional,80000,141937
M,High School,Management,100000,141727
M,Bachelors,Skilled Manual,60000,141602
F,Bachelors,Management,80000,138313
F,Graduate Degree,Management,110000,137731
M,Partial College,Professional,80000,137726
F,Bachelors,Professional,80000,135203
F,High School,Skilled Manual,80000,135074
F,Partial College,Skilled Manual,80000,132754
M,Partial High School,Manual,20000,132202
F,Graduate Degree,Professional,80000,130713
F,Bachelors,Management,40000,130547
M,Partial College,Professional,100000,127609
M,Graduate Degree,Clerical,30000,125837
M,High School,Professional,60000,124053
M,Bachelors,Management,60000,123981
F,Bachelors,Clerical,40000,123595
F,High School,Management,100000,123032
F,Graduate Degree,Management,130000,121090
F,Bachelors,Skilled Manual,60000,120058
M,High School,Skilled Manual,30000,119331
M,Graduate Degree,Management,110000,119011
M,High School,Professional,90000,118646
F,Partial High School,Manual,10000,114961
M,Bachelors,Skilled Manual,50000,114820
F,Bachelors,Management,100000,114774
F,Partial College,Professional,110000,112436
M,Bachelors,Professional,80000,112433
F,Partial High School,Professional,120000,111190
M,Graduate Degree,Management,90000,109780
F,High School,Professional,60000,105760
F,Bachelors,Skilled Manual,70000,105559
M,Bachelors,Clerical,40000,105449
F,Graduate Degree,Management,100000,103292
M,Partial High School,Professional,120000,102579
F,High School,Professional,90000,99373
F,High School,Professional,120000,98138
F,Bachelors,Management,120000,98024
F,Bachelors,Management,60000,94559
M,Bachelors,Management,90000,94296
M,Partial High School,Manual,10000,91097
M,High School,Management,110000,90547
F,Graduate Degree,Management,90000,88778
M,High School,Skilled Manual,70000,86120
F,Bachelors,Skilled Manual,80000,85823
M,Graduate Degree,Management,100000,85481
M,Partial College,Skilled Manual,40000,84814
M,High School,Professional,120000,84331
F,Bachelors,Management,110000,84003
F,Bachelors,Skilled Manual,30000,83869
M,Bachelors,Management,100000,83656
F,Partial College,Skilled Manual,40000,83217
M,Bachelors,Management,170000,81964
M,Graduate Degree,Management,60000,81835
M,Bachelors,Skilled Manual,30000,80977
F,Partial College,Professional,100000,80237
M,Bachelors,Management,110000,79922
F,High School,Management,110000,77668
F,Bachelors,Management,90000,74693
