CALENDARYEAR,MONTHNUMBEROFYEAR,PRODUCTKEY,PRODUCTNAME,TOTALSALES
2011,1,312,"Road-150 Red, 48",14312
2011,1,312,"Road-150 Red, 48",10734
2011,1,310,"Road-150 Red, 62",10734
2011,1,312,"Road-150 Red, 48",10734
2011,1,310,"Road-150 Red, 62",10734
2011,1,313,"Road-150 Red, 52",10734
2011,2,310,"Road-150 Red, 62",17890
2011,2,312,"Road-150 Red, 48",14312
2011,2,310,"Road-150 Red, 62",10734
2011,3,313,"Road-150 Red, 52",14312
2011,3,311,"Road-150 Red, 44",14312
2011,3,312,"Road-150 Red, 48",10734
2011,3,310,"Road-150 Red, 62",10734
2011,3,314,"Road-150 Red, 56",10734
2011,3,314,"Road-150 Red, 56",10734
2011,4,310,"Road-150 Red, 62",17890
2011,4,311,"Road-150 Red, 44",14312
2011,4,314,"Road-150 Red, 56",10734
2011,4,313,"Road-150 Red, 52",10734
2011,4,314,"Road-150 Red, 56",10734
2011,4,310,"Road-150 Red, 62",10734
2011,4,312,"Road-150 Red, 48",10734
2011,5,311,"Road-150 Red, 44",17890
2011,5,314,"Road-150 Red, 56",14312
2011,5,344,"Mountain-100 Silver, 38",13600
2011,6,310,"Road-150 Red, 62",17890
2011,6,312,"Road-150 Red, 48",17890
2011,6,312,"Road-150 Red, 48",14312
2011,6,311,"Road-150 Red, 44",14312
2011,6,311,"Road-150 Red, 44",14312
2011,7,314,"Road-150 Red, 56",14312
2011,7,313,"Road-150 Red, 52",10734
2011,7,310,"Road-150 Red, 62",10734
2011,8,313,"Road-150 Red, 52",17890
2011,8,314,"Road-150 Red, 56",17890
2011,8,310,"Road-150 Red, 62",14312
2011,9,313,"Road-150 Red, 52",14312
2011,9,312,"Road-150 Red, 48",10734
2011,9,312,"Road-150 Red, 48",10734
2011,9,312,"Road-150 Red, 48",10734
2011,9,314,"Road-150 Red, 56",10734
2011,9,311,"Road-150 Red, 44",10734
2011,9,312,"Road-150 Red, 48",10734
2011,9,311,"Road-150 Red, 44",10734
2011,9,311,"Road-150 Red, 44",10734
2011,10,314,"Road-150 Red, 56",17890
2011,10,313,"Road-150 Red, 52",14312
2011,10,310,"Road-150 Red, 62",14312
2011,11,313,"Road-150 Red, 52",17890
2011,11,312,"Road-150 Red, 48",14312
2011,11,314,"Road-150 Red, 56",14312
2011,11,314,"Road-150 Red, 56",14312
2011,11,314,"Road-150 Red, 56",14312
2011,12,311,"Road-150 Red, 44",14312
2011,12,314,"Road-150 Red, 56",10734
2011,12,310,"Road-150 Red, 62",10734
2011,12,310,"Road-150 Red, 62",10734
2011,12,313,"Road-150 Red, 52",10734
2011,12,312,"Road-150 Red, 48",10734
2011,12,313,"Road-150 Red, 52",10734
2011,12,310,"Road-150 Red, 62",10734
2011,12,312,"Road-150 Red, 48",10734
2011,12,313,"Road-150 Red, 52",10734
