YEAR,MONTH,TOTAL_REVENUE,PREV_MONTH_REVENUE,GROWTH_PERCENTAGE
2010,12,43419,,
2011,1,469795,43419,982.003300
2011,2,466307,469795,-0.742500
2011,3,485165,466307,4.044100
2011,4,502042,485165,3.478600
2011,5,561647,502042,11.872500
2011,6,737793,561647,31.362400
2011,7,596710,737793,-19.122300
2011,8,614516,596710,2.984000
2011,9,603047,614516,-1.866300
2011,10,708164,603047,17.431000
2011,11,660507,708164,-6.729700
2011,12,665031,660507,0.684900
2012,1,458269,665031,-31.090600
2012,2,467716,458269,2.061500
2012,3,340748,467716,-27.146400
2012,4,369776,340748,8.518900
2012,5,328318,369776,-11.211700
2012,6,555142,328318,69.086700
2012,7,444533,555142,-19.924500
2012,8,523887,444533,17.851100
2012,9,486149,523887,-7.203500
2012,10,535125,486149,10.074300
2012,11,537918,535125,0.521900
2012,12,624454,537918,16.087200
2013,1,857608,624454,37.337300
2013,2,771210,857608,-10.074300
2013,3,1049732,771210,36.114900
2013,4,1045860,1049732,-0.368900
2013,5,1284421,1045860,22.810000
2013,6,1642948,1284421,27.913500
2013,7,1371495,1642948,-16.522300
2013,8,1550862,1371495,13.078200
2013,9,1447324,1550862,-6.676200
2013,10,1673054,1447324,15.596400
2013,11,1780688,1673054,6.433400
2013,12,1874128,1780688,5.247400
2014,1,45642,1874128,-97.564600
