SALEDATE,SALESTERRITORY,DAILYAVERAGESALES
2010-12-29,Australia,3400.000000
2010-12-29,Canada,3578.000000
2010-12-29,France,3400.000000
2010-12-29,Northwest,3400.000000
2010-12-29,Southwest,699.000000
2010-12-30,Australia,3451.000000
2010-12-30,Southwest,3578.000000
2010-12-31,Australia,3578.000000
2010-12-31,Southwest,3578.000000
2010-12-31,United Kingdom,699.000000
2011-01-01,Germany,3578.000000
2011-01-01,Northwest,3578.000000
2011-01-02,Australia,2618.333333
2011-01-02,Southwest,3578.000000
2011-01-02,United Kingdom,3578.000000
2011-01-03,Germany,3578.000000
2011-01-03,Northwest,3578.000000
2011-01-03,Southwest,3578.000000
2011-01-03,United Kingdom,3578.000000
2011-01-04,Australia,3578.000000
2011-01-04,Northwest,699.000000
2011-01-04,United Kingdom,3578.000000
2011-01-05,Australia,3578.000000
2011-01-05,Germany,3578.000000
2011-01-05,Southwest,699.000000
2011-01-06,Australia,3476.500000
2011-01-06,Northwest,3578.000000
2011-01-06,Southwest,3489.000000
2011-01-06,United Kingdom,3400.000000
2011-01-07,Australia,3489.000000
2011-01-07,Northwest,3578.000000
2011-01-08,Australia,3578.000000
2011-01-08,France,3578.000000
2011-01-08,Germany,3578.000000
2011-01-08,United Kingdom,3578.000000
2011-01-09,Australia,3489.000000
2011-01-09,Northwest,3578.000000
2011-01-09,United Kingdom,3578.000000
2011-01-10,Australia,3578.000000
2011-01-11,Australia,3578.000000
2011-01-11,France,3578.000000
2011-01-11,Germany,3578.000000
2011-01-11,Northwest,3578.000000
2011-01-11,Southwest,3578.000000
2011-01-12,Australia,3375.000000
2011-01-12,Northwest,3578.000000
2011-01-12,Southwest,3578.000000
2011-01-12,United Kingdom,699.000000
2011-01-13,Australia,3578.000000
2011-01-13,Germany,3578.000000
2011-01-13,Southwest,3578.000000
2011-01-14,Australia,3518.666667
2011-01-14,Southwest,3578.000000
2011-01-15,Australia,3476.500000
2011-01-16,Australia,3533.500000
2011-01-16,Canada,3578.000000
2011-01-16,Northwest,3578.000000
2011-01-16,Southwest,699.000000
